u

Блок 1Aerogel
Название блока данных:     Aerogel
Дата регистрации данных:   03.05.2024
Время регистрации данных:  13-17-06
Комментарий пользователя:  Aerogel
Прибор:        P-20X8
Номер канала:  1

Цикл 2, Шаг 1
Физический номер цикла: 2
Комментарий пользователя к шагу данных: 
Приборный комментарий: Шаг завершен по пределу потенциала
Тип работы: Гальваностат
Потенциал РЦ "До" (Вольт)     : не измерялся
Потенциал РЦ "После" (Вольт)  : не измерялся
Потенциал установления (Вольт): не измерялся
Ток установления (Ампер)      : не измерялся
Скорость развертки: 0 A/с.
Количество точек данных: 681
Время, с.,                   Потенциал, В,                   Ток, А
944                0,774478971958                0,000600105908                
946                0,77469599247                0,000600105908                
948                0,77469599247                0,000600105908                
950                0,774911999702                0,000600105908                
952                0,775128006935                0,000600105908                
954                0,775128006935                0,000600105908                
956                0,775345027447                0,000600105908                
958                0,775560975075                0,000600105908                
960                0,775560975075                0,000600105908                
962                0,775777995586                0,000600105908                
964                0,775994002819                0,000600105908                
966                0,775994002819                0,000600105908                
968                0,776210010052                0,000600105908                
970                0,776210010052                0,000600105908                
972                0,776426970959                0,000600105908                
974                0,776642978191                0,000600105908                
976                0,776642978191                0,000600105908                
978                0,776858985424                0,000600105908                
980                0,777076005936                0,000600105908                
982                0,777076005936                0,000600105908                
984                0,777292013168                0,000600105908                
986                0,777292013168                0,000600105908                
988                0,777508974075                0,000600105908                
990                0,777724981308                0,000600105908                
992                0,777724981308                0,000600105908                
994                0,777940988541                0,000600105908                
996                0,778158009052                0,000600105908                
998                0,778158009052                0,000600105908                
1000                0,778374016285                0,000600105908                
1002                0,778590977192                0,000600105908                
1004                0,778590977192                0,000600105908                
1006                0,778806984425                0,000600105908                
1008                0,778806984425                0,000600105908                
1010                0,779022991657                0,000600105908                
1012                0,779240012169                0,000600105908                
1014                0,779240012169                0,000600105908                
1016                0,779456019402                0,000600105908                
1018                0,779456019402                0,000600105908                
1020                0,779672980309                0,000600105908                
1022                0,779888987541                0,000600105908                
1024                0,779888987541                0,000600105908                
1026                0,780104994774                0,000600105908                
1028                0,780322015285                0,000600105908                
1030                0,780322015285                0,000600105908                
1032                0,780538022518                0,000600105908                
1034                0,780538022518                0,000600105908                
1036                0,780754983425                0,000600105908                
1038                0,780970990658                0,000600105908                
1040                0,780970990658                0,000600105908                
1042                0,78118699789                0,000600105908                
1044                0,78118699789                0,000600105908                
1046                0,781404018402                0,000600105908                
1048                0,781620025635                0,000600105908                
1050                0,781620025635                0,000600105908                
1052                0,781836986542                0,000600105908                
1054                0,781836986542                0,000600105908                
1056                0,782052993774                0,000600105908                
1058                0,782052993774                0,000600105908                
1060                0,782269001007                0,000600105908                
1062                0,782486021519                0,000600105908                
1064                0,782486021519                0,000600105908                
